intents,utterances
billing,"I have a question about the charges on my recent billing statement. Can you explain them?"
billing,"How can I update my billing information, such as my credit card details or billing address?"
customer_service,"I have a general inquiry about my account and services. How can I get in touch with your customer service team?"
customer_service,"What are your customer service hours and contact options for support and assistance?"
equipment_sales,"I'm interested in purchasing a home security system. Can you tell me about your available equipment?"
equipment_sales,"What types of security cameras and sensors do you offer for sale, and what are their prices?"
subscription_cancellations,"I need to cancel my subscription. What is the process for cancellation, and are there any fees?"
subscription_cancellations,"Is there a notice period for canceling a subscription, and what happens if I cancel before it expires?"
subscriptions,"Could you explain the subscription plans for monitoring services and their pricing details?"
subscriptions,"What are the features included in your premium subscription plan, and how does it differ from the basic plan?"
tech_support_alarm,"My home alarm system is giving false alarms. Can you help me troubleshoot this issue?"
tech_support_alarm,"How can I change the security code or PIN for my alarm system for added security?"
tech_support_camera,"I'm experiencing issues with my security camera. Can you help me troubleshoot and fix the problem?"
tech_support_camera,"How do I set up remote viewing for my security camera on my mobile device or computer?"
tech_support_doorbell,"My doorbell camera is not functioning properly. Can you assist me in diagnosing and fixing the issue?"
tech_support_doorbell,"How can I optimize the performance of my doorbell camera, especially when it comes to motion detection?"
tech_support_other,"I'm facing technical issues with my security system other than the camera or doorbell. Can you help me resolve them?"
tech_support_other,"How do I perform regular maintenance and battery replacement for my security sensors and devices?"
billing,"I'd like a burrito."
billing,"And some fries."